Gene;(Intercept);Generation ;Selection;Generation:Selection;meanWPT9DIVmeanPT9;meanWPT23DIVmeanPT23;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;C_PT1_G9_C;W_PT1_G9_C;W_PT2_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT3_G9_C;meanWPT9;meanPT9
gene-LOC117899074;0;2.06E-28;0.400122333;0.000307546;0.89609009;1.070608697;1361.770453;1313.472913;1329.812636;1344.997946;1453.177032;1489.672812;1058.124645;1040.136568;942.5552383;1207.885516;1067.331845;1004.282932;995.6582463;1111.114002
gene-LOC117894952;0;0.004148066;0.775875146;0.000311325;0.600938705;1.815893008;77.39709179;69.77132676;47.08968257;100.0742519;75.16432923;177.5133464;79.0257979;56.52916132;47.75853502;64.56899533;73.97349418;26.45750864;43.58173499;72.52276247
gene-LOC117889794;0;1.25E-19;0.845787449;0.000312274;1.08617862;0.92929906;2024.875266;1833.989161;2027.681731;1886.1995;1761.851877;1822.310434;1531.253123;1758.056917;1447.173721;1511.805098;1441.426372;1665.720648;1623.650429;1494.828198
gene-LOC117895589;0;1.90E-37;0.071427705;0.000326013;1.093532496;0.807546939;768.7413847;983.4434629;1117.909064;658.0882805;694.5184021;965.1288698;1139.203061;1075.184648;1415.635066;1378.214073;1626.360108;2040.535354;1510.45169;1381.25908
gene-LOC117903798;0;7.74E-05;0.138535659;0.000343896;1.088674823;0.813216253;2438.008391;1785.25998;2024.85635;1814.946632;1691.698503;1574.431437;1883.277132;2088.187219;1571.526133;1473.954307;1292.42262;1402.247958;1687.320437;1549.884686
gene-LOC117898322;0;5.24E-11;0.174183243;0.000354546;1.188185972;0.925532258;2689.025986;2508.445319;2919.560319;2529.076494;2367.175275;2616.322835;1748.830645;2280.386368;2338.366007;2140.796173;1804.953258;2147.467785;2255.40672;1898.193358
gene-LOC117898820;0;3.68E-13;0.329575268;0.000379263;1.050505708;0.972301349;4117.734465;4279.308041;4430.197336;4006.172452;4226.239685;4239.530462;3598.239577;3856.419385;4180.223471;3986.578832;3817.0323;3941.066392;3992.569749;3800.616903
gene-LOC117891036;0;7.22E-13;0.336059431;0.000382072;1.384021949;0.431582594;1564.676342;679.9935656;372.9502859;463.5439348;336.7361949;329.4391834;2615.035494;2166.197462;2226.629057;840.5101978;1204.711191;2057.071297;2149.965939;1553.418961
gene-LOC117902541;0;3.16E-10;0.577380761;0.000389921;1.162663352;0.809995339;373.3886726;338.8893014;465.2460638;268.9995891;270.5915852;414.1978082;188.8408677;272.4705575;262.2213904;234.897552;277.9289853;281.1110294;271.9343258;233.889135
gene-LOC117899585;0;0.00725789;0.066269518;0.000396923;0.639445611;1.152330664;49.15761235;62.01895712;73.45990481;61.64573917;71.155565;79.96096684;67.7363982;54.26799486;40.54969954;73.47506365;57.06526694;31.96948961;42.26239467;66.09224293
gene-LOC117897087;0;0.460993873;0.403580049;0.000416412;1.216494105;0.885686785;4888.567663;4223.933972;5010.342225;4339.219562;3957.652482;4211.544123;4880.099598;5801.022534;4660.512134;4181.399077;3437.653951;4743.610821;5068.38183;4166.384209
gene-LOC117903515;0;6.77E-05;0.526811579;0.000440322;1.111821517;0.929965147;8736.458213;7335.956642;7844.199322;7848.223131;7411.202862;6982.191624;6762.350421;7773.890264;7702.640704;6706.269446;6315.222875;6519.571089;7332.034019;6594.614247
gene-LOC117893949;0;0.611771675;0.931495367;0.000441366;0.708216237;1.388923869;49.15761235;38.7618482;34.8463651;54.44039303;48.10517071;67.96682181;46.18390787;46.35391228;28.8353419;67.90877095;49.66791752;40.78865916;38.65930445;54.58686545
gene-LOC117897423;0;0.085576728;0.270447001;0.000445297;0.903684548;1.194215118;1235.215749;1028.850199;1003.952032;1358.608044;1252.73882;1291.369614;1727.278154;1440.36303;1115.56729;1208.998775;1118.056526;1107.908175;1221.279498;1351.444485
gene-LOC117894633;0;0.009052139;0.800130509;0.000460632;1.113301484;0.911286829;654.7375603;689.960898;660.1973496;574.8265029;680.4877273;571.7209129;608.6012748;696.4392674;703.7625632;705.8059145;640.3991068;776.0869202;725.4295836;651.6020987
